시설명,주소,운영기간,전화번호,참여방법
한천자연휴양림 유아숲체험원,전라남도 화순군 한천면 오음리 산1-1,2025-03~2025-12,061-379-3733,방문/우편/팩스/공문
지리산정원 유아숲체험원,전라남도 구례군 광의면 온당리 산145-1,2025-04~2025-11,061-780-8013,팩스
구례수목원 유아숲체험원,전라남도 구례군 산동면 탑정리 산92-4,2025-04~2025-11,061-780-8013,팩스
우드랜드 유아숲체험원,전라남도 장흥군 장흥읍 우산리 산20-1,2025-04~2025-12,061-864-3265,전화
마복산 유아숲체험원,전라남도 고흥군 포두면 옥강리 산379-5,2025-03~2025-12,061-830-6988,전화
성황 유아숲체험원,전라남도 광양시 성황동 1609,2025-03~2025-12,061-797-2512,전화
우산공원 유아숲체험원,전라남도 광양시 우산리 536-1,2025-03~2025-12,061-797-2512,전화
석현동 유아숲체험원,전라남도 순천시 석현동 산192-1,2025-03~2025-12,061-749-8736,전화
장성공원 유아숲체험원,전라남도 장성군 장성읍 영천리 산200-1,2025-03~2025-12,061-360-7424,전화
푸리롱 유아숲체험원,제주특별자치도 서귀포시 1100로 882,2025-03~2025-11,064-760-3774,홈페이지
자배봉 유아숲체험원,제주특별자치도 서귀포시 남원읍 위미리 산143,2025-03~2025-11,064-760-3774,홈페이지
붉은오름자연휴양림 유아숲체험원,제주특별자치도 서귀포시 표선면 가시리 산158,2025-03~2025-11,064-760-3774,홈페이지
한라생태숲 유아숲체험원,제주특별자치도 제주시 516로 2596,2025-03~2025-11,064-710-8683,홈페이지
제주절물자연휴양림 유아숲체험원　,제주특별자치도 제주시 명림로 584,2025-03~2025-11,064-728-3636,홈페이지
교래자연휴양림 유아숲체험원,제주특별자치도 제주시 조천읍 교래리 산98,2025-03~2025-11,064-710-7476,홈페이지
